Time,Channel A
(ms),(V)

-25.00092052,-0.23375980
-25.00041652,-0.09350394
-24.99991252,-0.23375980
-24.99940852,-0.04675197
-24.99890452,-0.23375980
-24.99840052,-0.14025590
-24.99789652,-0.14025590
-24.99739252,-0.18700790
-24.99688852,-0.09350394
-24.99638452,-0.18700790
-24.99588052,-0.14025590
-24.99537652,-0.14025590
-24.99487252,-0.14025590
-24.99436852,-0.09350394
-24.99386452,-0.18700790
-24.99336052,-0.14025590
-24.99285652,-0.18700790
-24.99235252,-0.14025590
-24.99184852,-0.14025590
-24.99134452,-0.14025590
-24.99084052,-0.18700790
-24.99033652,-0.04675197
-24.98983252,-0.18700790
-24.98932852,-0.14025590
-24.98882452,-0.09350394
-24.98832052,-0.23375980
-24.98781652,-0.14025590
-24.98731252,-0.09350394
-24.98680852,-0.09350394
-24.98630452,-0.18700790
-24.98580052,-0.14025590
-24.98529652,-0.14025590
-24.98479252,-0.09350394
-24.98428852,-0.18700790
-24.98378452,-0.14025590
-24.98328052,-0.09350394
-24.98277652,-0.14025590
-24.98227252,-0.18700790
-24.98176852,0.00000000
-24.98126452,-0.23375980
-24.98076052,-0.14025590
-24.98025652,-0.04675197
-24.97975252,-0.18700790
-24.97924852,-0.09350394
-24.97874452,-0.04675197
-24.97824052,-0.14025590
-24.97773652,-0.14025590
-24.97723252,-0.09350394
-24.97672852,-0.14025590
-24.97622452,-0.09350394
-24.97572052,-0.14025590
-24.97521652,-0.04675197
-24.97471252,-0.18700790
-24.97420852,-0.09350394
-24.97370452,-0.14025590
-24.97320052,-0.09350394
-24.97269652,-0.14025590
-24.97219252,-0.09350394
-24.97168852,-0.09350394
-24.97118452,-0.14025590
-24.97068052,-0.09350394
-24.97017652,-0.09350394
-24.96967252,-0.14025590
-24.96916852,0.00000000
-24.96866452,-0.18700790
-24.96816052,0.00000000
-24.96765652,-0.18700790
-24.96715252,0.00000000
-24.96664852,-0.18700790
-24.96614452,-0.09350394
-24.96564052,0.04675197
-24.96513652,-0.14025590
-24.96463252,-0.04675197
-24.96412852,-0.09350394
-24.96362452,0.00000000
-24.96312052,-0.04675197
-24.96261652,-0.14025590
-24.96211252,-0.04675197
-24.96160852,-0.09350394
-24.96110452,-0.04675197
-24.96060052,-0.04675197
-24.96009652,-0.04675197
-24.95959252,0.00000000
-24.95908852,-0.09350394
-24.95858452,-0.09350394
-24.95808052,0.04675197
-24.95757652,-0.18700790
-24.95707252,-0.04675197
-24.95656852,0.00000000
-24.95606452,-0.09350394
-24.95556052,-0.04675197
-24.95505652,-0.09350394
-24.95455252,0.04675197
-24.95404852,-0.14025590
-24.95354452,-0.04675197
-24.95304052,0.04675197
-24.95253652,-0.09350394
-24.95203252,0.00000000
-24.95152852,-0.09350394
-24.95102452,0.04675197
-24.95052052,-0.14025590
-24.95001652,-0.09350394
-24.94951252,0.09350394
-24.94900852,-0.04675197
-24.94850452,-0.09350394
-24.94800052,0.00000000
-24.94749652,-0.04675197
-24.94699252,-0.04675197
-24.94648852,-0.04675197
-24.94598452,0.00000000
-24.94548052,0.04675197
