Time,Channel A
(ms),(V)

-25.00081972,-0.18700790
-25.00031572,-0.14025590
-24.99981172,-0.04675197
-24.99930772,-0.14025590
-24.99880372,-0.23375980
-24.99829972,-0.14025590
-24.99779572,-0.14025590
-24.99729172,-0.09350394
-24.99678772,-0.14025590
-24.99628372,-0.14025590
-24.99577972,-0.18700790
-24.99527572,0.00000000
-24.99477172,-0.14025590
-24.99426772,-0.09350394
-24.99376372,-0.18700790
-24.99325972,-0.14025590
-24.99275572,-0.09350394
-24.99225172,-0.18700790
-24.99174772,-0.14025590
-24.99124372,-0.09350394
-24.99073972,-0.09350394
-24.99023572,-0.14025590
-24.98973172,-0.18700790
-24.98922772,-0.04675197
-24.98872372,-0.14025590
-24.98821972,-0.09350394
-24.98771572,-0.14025590
-24.98721172,-0.09350394
-24.98670772,-0.09350394
-24.98620372,-0.14025590
-24.98569972,-0.09350394
-24.98519572,-0.18700790
-24.98469172,0.00000000
-24.98418772,-0.09350394
-24.98368372,-0.18700790
-24.98317972,-0.09350394
-24.98267572,-0.04675197
-24.98217172,-0.09350394
-24.98166772,-0.18700790
-24.98116372,-0.09350394
-24.98065972,-0.04675197
-24.98015572,-0.09350394
-24.97965172,-0.14025590
-24.97914772,-0.09350394
-24.97864372,-0.09350394
-24.97813972,-0.14025590
-24.97763572,0.00000000
-24.97713172,-0.09350394
-24.97662772,-0.09350394
-24.97612372,-0.14025590
-24.97561972,0.00000000
-24.97511572,-0.18700790
-24.97461172,0.04675197
-24.97410772,-0.09350394
-24.97360372,-0.09350394
-24.97309972,0.00000000
-24.97259572,-0.09350394
-24.97209172,-0.14025590
-24.97158772,0.04675197
-24.97108372,-0.18700790
-24.97057972,0.00000000
-24.97007572,-0.14025590
-24.96957172,-0.04675197
-24.96906772,0.00000000
-24.96856372,-0.09350394
-24.96805972,-0.09350394
-24.96755572,-0.09350394
-24.96705172,-0.09350394
-24.96654772,-0.18700790
-24.96604372,0.04675197
-24.96553972,-0.18700790
-24.96503572,0.00000000
-24.96453172,-0.09350394
-24.96402772,-0.04675197
-24.96352372,-0.09350394
-24.96301972,0.04675197
-24.96251572,-0.09350394
-24.96201172,-0.09350394
-24.96150772,-0.04675197
-24.96100372,-0.09350394
-24.96049972,0.04675197
-24.95999572,-0.09350394
-24.95949172,0.04675197
-24.95898772,-0.04675197
-24.95848372,-0.09350394
-24.95797972,0.00000000
-24.95747572,-0.04675197
-24.95697172,-0.04675197
-24.95646772,0.09350394
-24.95596372,-0.04675197
-24.95545972,-0.09350394
-24.95495572,0.00000000
-24.95445172,-0.09350394
-24.95394772,0.00000000
-24.95344372,-0.04675197
-24.95293972,0.00000000
-24.95243572,-0.04675197
-24.95193172,-0.09350394
-24.95142772,0.04675197
-24.95092372,-0.04675197
-24.95041972,0.00000000
-24.94991572,0.00000000
-24.94941172,-0.09350394
-24.94890772,0.14025590
-24.94840372,-0.14025590
-24.94789972,0.00000000
-24.94739572,0.04675197
-24.94689172,-0.04675197
-24.94638772,-0.09350394
-24.94588372,-0.04675197
-24.94537972,0.09350394
-24.94487572,-0.09350394
